job_id,job_title,company,city,experience_required,salary_lpa,skills,job_description,role_category,exp_min,exp_max,salary_min_lpa,salary_max_lpa,salary_avg_lpa,skill_list
1,Data Analyst,TCS,Bengaluru,0-2,4-6,SQL;Excel;Python;Power BI,"Analyze business data, create dashboards, and support reporting requirements.",Data Analyst,0,2,4.0,6.0,5.0,"['SQL', 'Excel', 'Python', 'Power BI']"
2,Business Analyst,Accenture,Gurgaon,1-3,6-8,SQL;Excel;Stakeholder Management,Work with business teams to gather requirements and analyze processes.,Business Analyst,1,3,6.0,8.0,7.0,"['SQL', 'Excel', 'Stakeholder Management']"
3,Analytics Consultant,Deloitte,Bengaluru,0-2,7-10,SQL;Python;Power BI;Consulting,Support analytics-driven consulting engagements and client presentations.,Analytics / Consulting,0,2,7.0,10.0,8.5,"['SQL', 'Python', 'Power BI', 'Consulting']"
4,Junior Data Analyst,Infosys,Pune,0-1,3-5,SQL;Excel,Prepare reports and assist senior analysts with data analysis tasks.,Data Analyst,0,1,3.0,5.0,4.0,"['SQL', 'Excel']"
5,Data Analyst,Wipro,Hyderabad,1-3,5-7,SQL;Python;Tableau,Analyze datasets and build dashboards for internal stakeholders.,Data Analyst,1,3,5.0,7.0,6.0,"['SQL', 'Python', 'Tableau']"
6,Business Intelligence Analyst,Flipkart,Bengaluru,1-3,8-12,SQL;Python;Power BI,Create BI dashboards and provide insights for business growth.,Business Intelligence,1,3,8.0,12.0,10.0,"['SQL', 'Python', 'Power BI']"
7,Analytics Associate,KPMG,Mumbai,0-2,6-9,Excel;SQL;Presentation,Support consulting teams with analytics and reporting.,Other,0,2,6.0,9.0,7.5,"['Excel', 'SQL', 'Presentation']"
8,Data Analyst,Swiggy,Bengaluru,1-3,7-11,SQL;Python;A/B Testing,Analyze customer and operational data to support decision-making.,Data Analyst,1,3,7.0,11.0,9.0,"['SQL', 'Python', 'A/B Testing']"
9,Reporting Analyst,Genpact,Noida,0-2,4-6,Excel;SQL,Generate operational reports and track KPIs.,Other,0,2,4.0,6.0,5.0,"['Excel', 'SQL']"
10,Junior Business Analyst,Cognizant,Chennai,0-1,3-5,Excel;SQL;Documentation,Assist in business analysis and documentation activities.,Business Analyst,0,1,3.0,5.0,4.0,"['Excel', 'SQL', 'Documentation']"
11,Data Analyst,Amazon,Bengaluru,1-3,10-14,SQL;Python;Statistics,Analyze large datasets to support product and operations teams.,Data Analyst,1,3,10.0,14.0,12.0,"['SQL', 'Python', 'Statistics']"
12,Analytics Consultant,EY,Gurgaon,0-2,7-10,SQL;Excel;Power BI;Client Communication,Deliver analytics insights to consulting clients.,Analytics / Consulting,0,2,7.0,10.0,8.5,"['SQL', 'Excel', 'Power BI', 'Client Communication']"
13,Data Analyst,Paytm,Noida,1-3,6-9,SQL;Python;Dashboarding,Support analytics for fintech operations and growth.,Data Analyst,1,3,6.0,9.0,7.5,"['SQL', 'Python', 'Dashboarding']"
14,Business Analyst,ZS Associates,Pune,0-2,6-8,Excel;SQL;Business Analysis,Analyze healthcare and business data for consulting projects.,Business Analyst,0,2,6.0,8.0,7.0,"['Excel', 'SQL', 'Business Analysis']"
15,Data Analyst,Razorpay,Bengaluru,1-3,7-11,SQL;Python;Data Visualization,Analyze payment data and build insights for product teams.,Data Analyst,1,3,7.0,11.0,9.0,"['SQL', 'Python', 'Data Visualization']"
